"id","pinpai","chexing","car_url","licheng","shangpai","pailiang","biansu","baojia","yuanjia"
82,"buick","SUV","https://www.guazi.com/sh/e33a46bc77c26bb9x.htm#fr_page=list&fr_pos=city&fr_no=31",1.29,"2017-10",2,"自动",20,29.3
83,"buick","SUV","https://www.guazi.com/sh/38c41e790a7460ecx.htm#fr_page=list&fr_pos=city&fr_no=32",1.33,"2017-04",1.4,"自动",8.8,16.3
84,"buick","SUV","https://www.guazi.com/sh/21966cbd19ec5977x.htm#fr_page=list&fr_pos=city&fr_no=33",5.09,"2014-12",2,"自动",18,38
85,"buick","SUV","https://www.guazi.com/sh/8696840f0ab8f9c2x.htm#fr_page=list&fr_pos=city&fr_no=34",8.42,"2012-12",1.4,"自动",5,21.4
86,"buick","SUV","https://www.guazi.com/sh/773fa682d4253fd5x.htm#fr_page=list&fr_pos=city&fr_no=35",10.87,"2014-12",1.4,"自动",6.6,16.3
87,"buick","SUV","https://www.guazi.com/sh/2a0bc790aa2ef636x.htm#fr_page=list&fr_pos=city&fr_no=36",1.81,"2017-01",1.5,"自动",15.96,25.6
88,"buick","SUV","https://www.guazi.com/sh/1e4b91800a231c54x.htm#fr_page=list&fr_pos=city&fr_no=37",3.85,"2017-02",2,"自动",18,29.3
89,"buick","SUV","https://www.guazi.com/sh/0e3a8df3056b6990x.htm#fr_page=list&fr_pos=city&fr_no=38",6.18,"2016-09",1.4,"自动",8.3,16.3
90,"buick","SUV","https://www.guazi.com/sh/27379306784a7cc9x.htm#fr_page=list&fr_pos=city&fr_no=39",5.77,"2014-06",1.4,"自动",6.5,17.4
91,"buick","SUV","https://www.guazi.com/sh/05a388afac6e7525x.htm#fr_page=list&fr_pos=city&fr_no=0",4.19,"2013-03",3.6,"自动",24,65
92,"buick","SUV","https://www.guazi.com/sh/32d5d870214a3cc5x.htm#fr_page=list&fr_pos=city&fr_no=1",4.75,"2017-09",2,"自动",17.46,32.6
93,"buick","SUV","https://www.guazi.com/sh/3c89cb830c69b58bx.htm#fr_page=list&fr_pos=city&fr_no=2",3.36,"2016-11",1.5,"自动",15,25.6
94,"buick","SUV","https://www.guazi.com/sh/6713eccfeeb0937bx.htm#fr_page=list&fr_pos=city&fr_no=3",1.79,"2017-01",1.5,"自动",16,25.6
95,"buick","SUV","https://www.guazi.com/sh/c2839664d0dbe5a9x.htm#fr_page=list&fr_pos=city&fr_no=4",1.14,"2013-12",1.4,"自动",9,21.4
96,"buick","SUV","https://www.guazi.com/sh/4a2f3a4fa42590b6x.htm#fr_page=list&fr_pos=city&fr_no=5",5.3,"2013-02",1.4,"手动",5.6,16.3
97,"buick","SUV","https://www.guazi.com/sh/f099e3348a1233a3x.htm#fr_page=list&fr_pos=city&fr_no=6",6.51,"2017-03",2,"自动",17.1,29.3
98,"buick","SUV","https://www.guazi.com/sh/61350d867f048ccbx.htm#fr_page=list&fr_pos=city&fr_no=7",5.24,"2015-10",2,"自动",22,32.6
99,"buick","SUV","https://www.guazi.com/sh/5ed655b767e9f8fbx.htm#fr_page=list&fr_pos=city&fr_no=8",2.15,"2017-04",2,"手动",16.8,32.6
100,"buick","SUV","https://www.guazi.com/sh/0800c6ccc0123324x.htm#fr_page=list&fr_pos=city&fr_no=9",6.29,"2015-04",2,"自动",15,29.3
101,"byd","SUV","https://www.guazi.com/sh/00bf267aa1377471x.htm#fr_page=list&fr_pos=city&fr_no=0",13.19,"2012-01",2,"手动",2.1,11.7
102,"byd","SUV","https://www.guazi.com/sh/2ba0890bc0c2443ex.htm#fr_page=list&fr_pos=city&fr_no=1",3.79,"2016-02",2,"自动",6.01,14.9
103,"byd","SUV","https://www.guazi.com/sh/965b332db31b4e66x.htm#fr_page=list&fr_pos=city&fr_no=2",3.17,"2017-12",1.5,"自动",11.9,23.4
104,"byd","SUV","https://www.guazi.com/sh/9e4245d1fa03ec3cx.htm#fr_page=list&fr_pos=city&fr_no=3",7.38,"2013-03",2,"手动",3,11.7
105,"byd","SUV","https://www.guazi.com/sh/c41397d2a07cb2afx.htm#fr_page=list&fr_pos=city&fr_no=4",0.38,"2018-05",1.5,"自动",8.7,10.8
106,"byd","SUV","https://www.guazi.com/sh/c699c63691210ce3x.htm#fr_page=list&fr_pos=city&fr_no=5",2.41,"2016-12",2,"自动",12.82,30.4
107,"byd","SUV","https://www.guazi.com/sh/2477cf8571f087a4x.htm#fr_page=list&fr_pos=city&fr_no=6",8.77,"2015-06",2,"手动",3.6,10.8
108,"byd","SUV","https://www.guazi.com/sh/25c48f92e0db899dx.htm#fr_page=list&fr_pos=city&fr_no=7",5.04,"2013-12",2,"手动",3,8.7
109,"byd","SUV","https://www.guazi.com/sh/6afba8830ec8de72x.htm#fr_page=list&fr_pos=city&fr_no=8",2.72,"2015-12",2,"自动",6,14.1
110,"byd","SUV","https://www.guazi.com/sh/74b189f6c8611846x.htm#fr_page=list&fr_pos=city&fr_no=9",3.03,"2016-12",2,"自动",12,30.4
111,"byd","SUV","https://www.guazi.com/sh/1cbd0886f0fdd08ex.htm#fr_page=list&fr_pos=city&fr_no=10",3.51,"2017-11",1.5,"自动",12.3,26.7
112,"byd","SUV","https://www.guazi.com/sh/a65445cbf04c9d6bx.htm#fr_page=list&fr_pos=city&fr_no=11",5.63,"2016-10",2,"自动",12,30.4
113,"byd","SUV","https://www.guazi.com/sh/51dfac66607fe848x.htm#fr_page=list&fr_pos=city&fr_no=12",10.78,"2013-09",2,"手动",3.1,8.7
114,"byd","SUV","https://www.guazi.com/sh/4338882217ac6725x.htm#fr_page=list&fr_pos=city&fr_no=13",10.15,"2017-05",2,"自动",12,30.4
115,"byd","SUV","https://www.guazi.com/sh/e64306d890b0f61dx.htm#fr_page=list&fr_pos=city&fr_no=14",1.27,"2017-01",2,"自动",8.17,14.1
116,"byd","SUV","https://www.guazi.com/sh/1bf1739afd2006c4x.htm#fr_page=list&fr_pos=city&fr_no=15",9.47,"2012-02",2,"手动",3,11.7
117,"byd","SUV","https://www.guazi.com/sh/07036155bb791296x.htm#fr_page=list&fr_pos=city&fr_no=16",1.65,"2017-01",1.5,"手动",5.5,9.8
118,"byd","SUV","https://www.guazi.com/sh/aac245374a51ea50x.htm#fr_page=list&fr_pos=city&fr_no=17",4.51,"2016-02",2,"自动",6,13.8
119,"byd","SUV","https://www.guazi.com/sh/b05d28074165f8bax.htm#fr_page=list&fr_pos=city&fr_no=18",5.67,"2015-01",2,"自动",6.1,15.2
120,"byd","SUV","https://www.guazi.com/sh/6b289aa588720f3dx.htm#fr_page=list&fr_pos=city&fr_no=19",1.86,"2018-05",1.5,"自动",13.5,23.4
121,"byd","SUV","https://www.guazi.com/sh/9b11749a9114f8b6x.htm#fr_page=list&fr_pos=city&fr_no=20",6.22,"2015-06",2.4,"自动",6,11.9
122,"byd","SUV","https://www.guazi.com/sh/f79d0332e2d53befx.htm#fr_page=list&fr_pos=city&fr_no=21",5.52,"2015-09",2,"手动",4.2,8.7
123,"byd","SUV","https://www.guazi.com/sh/184b5848f525118bx.htm#fr_page=list&fr_pos=city&fr_no=22",10.59,"2015-12",2,"自动",11.64,30.4
124,"byd","SUV","https://www.guazi.com/sh/5dbead1c6b682ecex.htm#fr_page=list&fr_pos=city&fr_no=23",1.89,"2017-05",2,"自动",19.5,32.6
125,"byd","SUV","https://www.guazi.com/sh/6bc73f5dd18a0574x.htm#fr_page=list&fr_pos=city&fr_no=24",2.88,"2016-06",2,"自动",13,30.4
126,"byd","SUV","https://www.guazi.com/sh/f5c2a4aca074beebx.htm#fr_page=list&fr_pos=city&fr_no=25",9.34,"2011-10",2.4,"自动",3.5,14.2
127,"byd","SUV","https://www.guazi.com/sh/dba2856a22442cbex.htm#fr_page=list&fr_pos=city&fr_no=26",3.74,"2016-07",2,"自动",13,28.4
128,"byd","SUV","https://www.guazi.com/sh/f59e75af7d53bfe3x.htm#fr_page=list&fr_pos=city&fr_no=27",3.46,"2016-08",1.5,"手动",5.7,12.7
129,"byd","SUV","https://www.guazi.com/sh/af15aae148fe486fx.htm#fr_page=list&fr_pos=city&fr_no=28",6.45,"2016-03",1.5,"手动",6.1,12.7
130,"byd","SUV","https://www.guazi.com/sh/e062b6ce651f501cx.htm#fr_page=list&fr_pos=city&fr_no=29",7.07,"2015-12",2,"自动",12,30.4
131,"byd","SUV","https://www.guazi.com/sh/af69deec1665dcadx.htm#fr_page=list&fr_pos=city&fr_no=30",3.63,"2016-04",1.5,"手动",5.79,12.7
132,"byd","SUV","https://www.guazi.com/sh/8dfa5bbc136aa860x.htm#fr_page=list&fr_pos=city&fr_no=31",3.83,"2013-06",2,"手动",2.9,9.8
133,"byd","SUV","https://www.guazi.com/sh/c001bd5f3dac1995x.htm#fr_page=list&fr_pos=city&fr_no=32",4.95,"2016-06",2,"自动",14,30.4
134,"byd","SUV","https://www.guazi.com/sh/e6eec54b45bd643bx.htm#fr_page=list&fr_pos=city&fr_no=33",3.73,"2018-08",1.5,"自动",12,23.4
135,"byd","SUV","https://www.guazi.com/sh/5aaa0efb53be7cb1x.htm#fr_page=list&fr_pos=city&fr_no=34",3.79,"2016-05",1.5,"手动",7,12.7
136,"byd","SUV","https://www.guazi.com/sh/2353422c236b6537x.htm#fr_page=list&fr_pos=city&fr_no=35",1.68,"2016-06",2,"自动",13.3,30.4
137,"byd","SUV","https://www.guazi.com/sh/03b200b0029d7be1x.htm#fr_page=list&fr_pos=city&fr_no=36",3.72,"2015-06",2,"自动",6.5,14.1
138,"byd","SUV","https://www.guazi.com/sh/0b4f9df807d64262x.htm#fr_page=list&fr_pos=city&fr_no=37",1.92,"2015-02",2,"自动",7,14.1
139,"byd","SUV","https://www.guazi.com/sh/0b84e407afa6d583x.htm#fr_page=list&fr_pos=city&fr_no=38",9.02,"2016-02",2,"自动",6.8,15.2
140,"byd","SUV","https://www.guazi.com/sh/5d26ff66bebc7303x.htm#fr_page=list&fr_pos=city&fr_no=39",9.43,"2016-11",2,"自动",12,30.4
141,"byd","SUV","https://www.guazi.com/sh/b61dc4635cf99461x.htm#fr_page=list&fr_pos=city&fr_no=0",4.03,"2015-07",2,"手动",4.45,8.7
142,"byd","SUV","https://www.guazi.com/sh/18abc55042d4416dx.htm#fr_page=list&fr_pos=city&fr_no=1",8.38,"2015-12",2,"自动",12,30.4
143,"byd","SUV","https://www.guazi.com/sh/638d074743617adex.htm#fr_page=list&fr_pos=city&fr_no=2",5.5,"2015-12",2,"自动",13.3,30.4
144,"byd","SUV","https://www.guazi.com/sh/dc173e6459e24a8fx.htm#fr_page=list&fr_pos=city&fr_no=3",11.97,"2013-09",2,"手动",3.5,11.7
145,"byd","SUV","https://www.guazi.com/sh/a61b66c142efea7ax.htm#fr_page=list&fr_pos=city&fr_no=4",7.19,"2012-01",2,"手动",2.7,11.7
146,"byd","SUV","https://www.guazi.com/sh/d5eab6ffb4e26741x.htm#fr_page=list&fr_pos=city&fr_no=5",3.5,"2013-08",2,"手动",4.36,8.7
147,"byd","SUV","https://www.guazi.com/sh/838384af997587d8x.htm#fr_page=list&fr_pos=city&fr_no=6",2.54,"2017-12",1.5,"自动",13.5,23.4
148,"byd","SUV","https://www.guazi.com/sh/ea624f6d7fe22706x.htm#fr_page=list&fr_pos=city&fr_no=7",5.65,"2013-08",2.4,"自动",4.75,13.4
149,"byd","SUV","https://www.guazi.com/sh/7d280acbb9a53a55x.htm#fr_page=list&fr_pos=city&fr_no=8",4.21,"2015-08",2,"自动",7,14.1
150,"byd","SUV","https://www.guazi.com/sh/ea8af772315b8bd6x.htm#fr_page=list&fr_pos=city&fr_no=9",4.85,"2015-12",2,"自动",16.87,30.4
151,"bmw","SUV","https://www.guazi.com/sh/3201626784e795cfx.htm#fr_page=list&fr_pos=city&fr_no=0",6.33,"2015-08",3,"自动",40,106.8
152,"bmw","SUV","https://www.guazi.com/sh/d2def680146f196bx.htm#fr_page=list&fr_pos=city&fr_no=1",3.51,"2014-11",3,"自动",43.51,91
153,"bmw","SUV","https://www.guazi.com/sh/3be7cab15611d169x.htm#fr_page=list&fr_pos=city&fr_no=2",13.5,"2012-09",3,"自动",28,114.5
154,"bmw","SUV","https://www.guazi.com/sh/aefafc3aaabd5e21x.htm#fr_page=list&fr_pos=city&fr_no=3",15.82,"2008-08",3,"自动",14.82,86.6
155,"bmw","SUV","https://www.guazi.com/sh/4da37b5ae6e8a369x.htm#fr_page=list&fr_pos=city&fr_no=4",11.21,"2015-06",3,"自动",41.5,114.4
156,"bmw","SUV","https://www.guazi.com/sh/d0299af0affcd51dx.htm#fr_page=list&fr_pos=city&fr_no=5",3.61,"2018-01",2,"自动",55.5,82.3
157,"bmw","SUV","https://www.guazi.com/sh/55a8ae7f6c5939f9x.htm#fr_page=list&fr_pos=city&fr_no=6",1.1,"2017-05",4,"自动",89.24,187.6
158,"bmw","SUV","https://www.guazi.com/sh/c8871e183c3a25e7x.htm#fr_page=list&fr_pos=city&fr_no=7",7.61,"2013-12",3,"自动",36.1,115.4
159,"bmw","SUV","https://www.guazi.com/sh/53df0ca1890566acx.htm#fr_page=list&fr_pos=city&fr_no=8",11.37,"2015-01",2,"自动",28.5,53.2
160,"bmw","SUV","https://www.guazi.com/sh/7f13ccddd98e1c0fx.htm#fr_page=list&fr_pos=city&fr_no=9",3.37,"2017-09",3,"自动",60,91
161,"bmw","SUV","https://www.guazi.com/sh/88debe7197da2c3bx.htm#fr_page=list&fr_pos=city&fr_no=10",2.04,"2017-12",1.5,"自动",20,30.8
162,"bmw","SUV","https://www.guazi.com/sh/67750289843fd698x.htm#fr_page=list&fr_pos=city&fr_no=11",0.91,"2017-10",1.5,"自动",31.81,43.1
163,"bmw","SUV","https://www.guazi.com/sh/dd1b969dd3a5f00ex.htm#fr_page=list&fr_pos=city&fr_no=12",12.25,"2011-09",3,"自动",30,114.5
